Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	HCA_C_1 Spectral Count	HCA_C_2 Spectral Count	HCA_C_3 Spectral Count	HCA_I_1 Spectral Count	HCA_I_2 Spectral Count	HCA_I_3 Spectral Count	HCA_K_1 Spectral Count	HCA_K_2 Spectral Count	HCA_M_1 Spectral Count	HCA_M_2 Spectral Count	HIT_C_1 Spectral Count	HIT_C_2 Spectral Count	HIT_C_3 Spectral Count	HIT_I_1 Spectral Count	HIT_I_2 Spectral Count	HIT_I_3 Spectral Count	HIT_K_1 Spectral Count	HIT_K_2 Spectral Count	HIT_K_3 Spectral Count	HIT_M_1 Spectral Count	HIT_M_2 Spectral Count	HIT_M_3 Spectral Count	HCA_C_1 Unique Spectral Count	HCA_C_2 Unique Spectral Count	HCA_C_3 Unique Spectral Count	HCA_I_1 Unique Spectral Count	HCA_I_2 Unique Spectral Count	HCA_I_3 Unique Spectral Count	HCA_K_1 Unique Spectral Count	HCA_K_2 Unique Spectral Count	HCA_M_1 Unique Spectral Count	HCA_M_2 Unique Spectral Count	HIT_C_1 Unique Spectral Count	HIT_C_2 Unique Spectral Count	HIT_C_3 Unique Spectral Count	HIT_I_1 Unique Spectral Count	HIT_I_2 Unique Spectral Count	HIT_I_3 Unique Spectral Count	HIT_K_1 Unique Spectral Count	HIT_K_2 Unique Spectral Count	HIT_K_3 Unique Spectral Count	HIT_M_1 Unique Spectral Count	HIT_M_2 Unique Spectral Count	HIT_M_3 Unique Spectral Count	HCA_C_1 Total Spectral Count	HCA_C_2 Total Spectral Count	HCA_C_3 Total Spectral Count	HCA_I_1 Total Spectral Count	HCA_I_2 Total Spectral Count	HCA_I_3 Total Spectral Count	HCA_K_1 Total Spectral Count	HCA_K_2 Total Spectral Count	HCA_M_1 Total Spectral Count	HCA_M_2 Total Spectral Count	HIT_C_1 Total Spectral Count	HIT_C_2 Total Spectral Count	HIT_C_3 Total Spectral Count	HIT_I_1 Total Spectral Count	HIT_I_2 Total Spectral Count	HIT_I_3 Total Spectral Count	HIT_K_1 Total Spectral Count	HIT_K_2 Total Spectral Count	HIT_K_3 Total Spectral Count	HIT_M_1 Total Spectral Count	HIT_M_2 Total Spectral Count	HIT_M_3 Total Spectral Count	HCA_C_1 Intensity	HCA_C_2 Intensity	HCA_C_3 Intensity	HCA_I_1 Intensity	HCA_I_2 Intensity	HCA_I_3 Intensity	HCA_K_1 Intensity	HCA_K_2 Intensity	HCA_M_1 Intensity	HCA_M_2 Intensity	HIT_C_1 Intensity	HIT_C_2 Intensity	HIT_C_3 Intensity	HIT_I_1 Intensity	HIT_I_2 Intensity	HIT_I_3 Intensity	HIT_K_1 Intensity	HIT_K_2 Intensity	HIT_K_3 Intensity	HIT_M_1 Intensity	HIT_M_2 Intensity	HIT_M_3 Intensity	HCA_C_1 MaxLFQ Intensity	HCA_C_2 MaxLFQ Intensity	HCA_C_3 MaxLFQ Intensity	HCA_I_1 MaxLFQ Intensity	HCA_I_2 MaxLFQ Intensity	HCA_I_3 MaxLFQ Intensity	HCA_K_1 MaxLFQ Intensity	HCA_K_2 MaxLFQ Intensity	HCA_M_1 MaxLFQ Intensity	HCA_M_2 MaxLFQ Intensity	HIT_C_1 MaxLFQ Intensity	HIT_C_2 MaxLFQ Intensity	HIT_C_3 MaxLFQ Intensity	HIT_I_1 MaxLFQ Intensity	HIT_I_2 MaxLFQ Intensity	HIT_I_3 MaxLFQ Intensity	HIT_K_1 MaxLFQ Intensity	HIT_K_2 MaxLFQ Intensity	HIT_K_3 MaxLFQ Intensity	HIT_M_1 MaxLFQ Intensity	HIT_M_2 MaxLFQ Intensity	HIT_M_3 MaxLFQ Intensity	Indistinguishable Proteins
A4FU28|CTGE9_HUMAN	A4FU28	CTGE9_HUMAN	CTAGE9	777	Homo sapiens	2:Experimental evidence at transcript level	cTAGE family member 9	0.9904	0.9988	1	3	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	19736.178	0.0	0.0	0.0	0.0	0.0	26165.379	11935.5	15937.697	0.0	11282.868	10538.576	0.0	7535.292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.9988	3	3	3	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	44873.164	119225.36	195406.88	0.0	88803.09	73945.76	0.0	20210.031	0.0	0.0	0.0	2525.3306	0.0	0.0	2963.9656	9528.589	0.0	3493.2063	11208.181	2947.6084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens	1:Experimental evidence at protein level	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.0	0.999	3	77	0	77	6	3	1	1	8	4	1	2	0	0	6	8	6	9	11	5	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	1	1	8	4	1	2	0	0	6	8	6	9	11	5	0	1	4	1	0	0	181602.88	103809.09	58510.637	52348.29	192911.48	173554.62	91120.47	36314.23	0.0	0.0	145827.44	193521.27	198075.12	262500.88	227384.73	194132.33	0.0	115134.7	95779.39	93013.18	0.0	0.0	85835.51	84237.695	89401.31	0.0	116027.98	104246.375	0.0	0.0	0.0	0.0	77152.234	100363.67	125232.63	95671.13	93006.22	95840.57	0.0	42148.65	44981.613	28050.47	0.0	0.0	sp|Q9GZQ8|MLP3B_HUMAN
A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.999	13	264	264	264	9	9	23	28	10	14	2	4	1	5	9	12	11	15	12	16	14	12	22	11	10	15	9	9	23	28	10	14	2	4	1	5	9	12	11	15	12	16	14	12	22	11	10	15	9	9	23	28	10	14	2	4	1	5	9	12	11	15	12	16	14	12	22	11	10	15	471875.7	424707.03	500946.66	507197.3	534101.4	504838.28	41344.477	86743.81	161586.86	173911.92	405629.38	435782.25	394813.2	391087.4	534529.44	431683.4	293984.97	379184.28	339589.5	322359.75	215470.55	270542.94	97927.95	96874.9	112058.31	111706.64	113044.22	118778.79	0.0	53322.04	92183.34	77878.0	96772.82	96429.13	86093.2	86407.21	118818.57	101025.47	84640.58	92008.14	78097.6	80030.25	57986.258	83490.56	
A6NEL2|SWAHB_HUMAN	A6NEL2	SWAHB_HUMAN	SOWAHB	793	Homo sapiens	1:Experimental evidence at protein level	Ankyrin repeat domain-containing protein SOWAHB	0.9363	0.9981	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	14760.703	0.0	0.0	0.0	0.0	0.0	21480.857	24253.969	13226.778	14833.521	15453.936	13754.72	0.0	17631.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A6NHX0|CAST2_HUMAN	A6NHX0	CAST2_HUMAN	CASTOR2	329	Homo sapiens	1:Experimental evidence at protein level	Cytosolic arginine sensor for mTORC1 subunit 2	0.9999	0.999	2	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15500.301	8165.1763	16984.773	0.0	12549.859	42963.266	12086.618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens	1:Experimental evidence at protein level	Protein unc-119 homolog B	0.966	0.999	1	13	13	13	0	1	4	0	1	0	0	0	0	0	0	0	0	1	3	2	0	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	1	3	2	0	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	1	3	2	0	0	1	0	0	0	18209.322	54734.164	39720.457	0.0	35552.44	32672.525	0.0	0.0	0.0	0.0	14309.225	23202.771	19875.162	20646.91	24783.857	32489.469	0.0	19160.064	21635.383	21701.414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A8K2U0|A2ML1_HUMAN	A8K2U0	A2ML1_HUMAN	A2ML1	1454	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-macroglobulin-like protein 1	0.9999	0.999	2	3	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4629.1567	49238.293	48070.32	0.0	16268.201	32398.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33019.637	32125.736	0.0	10519.323	17559.922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A8MTL9|HMSD_HUMAN	A8MTL9	HMSD_HUMAN	HMSD	139	Homo sapiens	2:Experimental evidence at transcript level	Serpin-like protein HMSD	0.8905	0.999	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7230.901	12073.762	0.0	7493.799	14810.685	6777.5464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A8MUU1|FB5L3_HUMAN	A8MUU1	FB5L3_HUMAN	FABP5P3	101	Homo sapiens	5:Protein uncertain	Putative fatty acid-binding protein 5-like protein 3	0.9984	0.999	5	2	2	285	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	10	4	8	8	6	7	11	9	7	4	17	21	24	16	25	22	10	14	19	15	18	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	855.38873	7510.3584	19483.217	0.0	0.0	13834.157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A8MVW0|F1712_HUMAN	A8MVW0	F1712_HUMAN	FAM171A2	826	Homo sapiens	1:Experimental evidence at protein level	Protein FAM171A2	0.8905	0.999	1	7	7	7	0	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18303.436	32430.205	22633.666	0.0	31555.047	27352.842	0.0	0.0	0.0	0.0	12223.837	9221.345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	0.9999	0.999	2	37	0	37	0	1	4	0	0	0	2	0	0	0	1	1	3	3	2	1	0	2	5	2	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	2	0	0	0	1	1	3	3	2	1	0	2	5	2	9	1	16029.286	25846.398	38825.516	0.0	17829.855	19043.32	23076.191	0.0	0.0	0.0	85165.31	73879.56	64893.86	26546.281	81805.86	91794.22	0.0	162521.72	131307.22	125217.4	57574.82	52451.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63023.777	53324.355	47093.223	0.0	52124.43	51604.746	0.0	107965.52	74448.81	81598.805	42607.383	0.0	sp|P62308|RUXG_HUMAN
