Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) HIT_K2,Coverage (%) HIT_K4,Coverage (%) HIT_K6,Coverage (%) HIT_M2,Coverage (%) HIT_M4,Coverage (%) HIT_M6,Coverage (%) HIT_C2,Coverage (%) HIT_C4,Coverage (%) HIT_C6,Coverage (%) HIT_i2,Coverage (%) HIT_i4,Coverage (%) HIT_i6,Area HIT_K2,Area HIT_K4,Area HIT_K6,Area HIT_M2,Area HIT_M4,Area HIT_M6,Area HIT_C2,Area HIT_C4,Area HIT_C6,Area HIT_i2,Area HIT_i4,Area HIT_i6,#Peptides,#Unique,#Spec HIT_K2,#Spec HIT_K4,#Spec HIT_K6,#Spec HIT_M2,#Spec HIT_M4,#Spec HIT_M6,#Spec HIT_C2,#Spec HIT_C4,#Spec HIT_C6,#Spec HIT_i2,#Spec HIT_i4,#Spec HIT_i6,PTM,Avg. Mass,Description
32,81,Q01082|SPTB2_HUMAN,580.34,64,52,55,56,48,54,57,54,52,59,56,55,46,4.1703E5,5.2577E5,6.1945E5,2.8475E5,4.3463E5,7.2698E5,5.3055E5,4.081E5,6.0674E5,5.4195E5,3.8298E5,2.9222E5,138,134,374,435,469,345,424,471,412,386,491,475,367,324,Carbamidomethylation; Deamidation (NQ),274608,Spectrin beta chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2
30,13,Q13813|SPTN1_HUMAN,574.13,63,55,50,48,51,51,52,49,50,50,57,48,47,5.6571E5,5.7917E5,5.8959E5,4.3065E5,5.3423E5,8.2681E5,4.8895E5,4.2251E5,6.3718E5,6.7122E5,4.7699E5,4.6783E5,148,148,439,410,455,414,417,477,394,408,420,464,385,373,Carbamidomethylation; Deamidation (NQ),284538,Spectrin alpha chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3
1,4,P08670|VIME_HUMAN,569.21,94,92,90,89,88,90,94,90,88,90,90,91,93,1.3054E7,1.3724E7,1.3061E7,1.2324E7,1.3494E7,1.4112E7,1.0247E7,1.002E7,1.1388E7,1.8979E7,1.5608E7,1.7192E7,76,74,1914,1836,1658,1710,1837,1738,1684,1601,1634,2308,1977,2083,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),53652,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4
36,91,Q00610|CLH1_HUMAN,561.52,74,61,61,65,55,63,63,62,64,64,57,52,43,4.7359E5,6.1001E5,7.5572E5,2.9989E5,5.668E5,8.0942E5,6.6607E5,4.9748E5,7.6637E5,4.6884E5,3.2148E5,2.304E5,101,79,410,392,491,290,434,458,490,411,437,356,324,234,Carbamidomethylation; Deamidation (NQ),191613,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5
68,293,P78527|PRKDC_HUMAN,557.19,43,25,30,34,20,30,33,26,21,26,21,14,8,1.5419E5,2.4619E5,3.5357E5,8.0574E4,2.191E5,4.0077E5,1.8841E5,1.0969E5,2.1914E5,1.0812E5,5.4012E4,1.8786E4,141,141,265,341,416,178,320,402,288,186,255,185,125,58,Carbamidomethylation; Deamidation (NQ),469093,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3
20,42,O43707|ACTN4_HUMAN,552.20,79,73,73,77,74,73,74,73,77,74,74,74,73,6.8511E5,7.7758E5,7.7977E5,5.6222E5,6.7471E5,8.5877E5,6.842E5,5.8297E5,8.9182E5,8.002E5,6.2152E5,5.0852E5,74,46,474,543,538,465,538,569,494,500,568,492,424,393,Carbamidomethylation; Oxidation (M); Deamidation (NQ),104854,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2
29,533,P68104|EF1A1_HUMAN,548.56,67,67,67,67,67,67,67,60,67,67,67,67,67,2.2527E6,2.8501E6,2.667E6,2.237E6,2.5609E6,2.5297E6,1.4944E6,1.4316E6,1.491E6,1.7059E6,1.7111E6,1.8195E6,31,31,442,505,498,423,538,450,373,354,372,372,356,379,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50141,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1
23,31,P12814|ACTN1_HUMAN,544.55,83,75,79,81,78,79,82,75,78,82,80,81,80,6.6837E5,7.3775E5,8.0909E5,5.8648E5,7.119E5,1.0108E6,7.6588E5,6.1662E5,9.4464E5,8.3013E5,5.9296E5,4.7215E5,83,52,443,478,537,452,517,515,483,485,560,473,428,362,Carbamidomethylation; Oxidation (M); Deamidation (NQ),103058,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2
50,8,P29401|TKT_HUMAN,541.12,87,79,76,76,83,76,78,76,77,77,78,77,78,1.6752E6,1.5505E6,1.4176E6,1.5294E6,1.5446E6,1.458E6,7.2905E5,7.125E5,8.2615E5,1.2672E6,1.1722E6,1.5758E6,44,44,390,364,363,409,386,317,226,254,265,292,311,361,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),67878,Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3
18,380,P07996|TSP1_HUMAN,540.43,49,40,43,42,36,39,42,46,46,47,45,44,44,6.2905E5,7.2801E5,8.3483E5,4.7341E5,5.8764E5,1.1794E6,4.5508E6,3.6956E6,5.1159E6,3.1248E6,2.3394E6,1.5112E6,62,62,250,289,311,233,257,355,894,753,1213,654,630,387,Carbamidomethylation; Oxidation (M); Deamidation (NQ),129383,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2
40,243,Q14315|FLNC_HUMAN,535.57,54,46,38,43,42,41,41,43,44,41,43,44,42,4.7376E5,4.2143E5,4.9164E5,3.5586E5,4.2622E5,5.6685E5,4.9786E5,3.9803E5,4.802E5,4.6449E5,3.9483E5,3.3932E5,110,98,354,359,391,365,381,406,429,402,392,385,367,348,Carbamidomethylation; Deamidation (NQ),291020,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3
21,59,P55072|TERA_HUMAN,529.41,80,72,75,75,74,72,71,71,70,73,73,79,73,1.1674E6,1.2409E6,1.104E6,1.2426E6,1.2232E6,1.3226E6,9.2172E5,8.9653E5,1.1383E6,1.6862E6,1.3252E6,1.5023E6,69,69,457,466,449,510,483,467,391,407,459,614,546,528,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),89322,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4
62,150,P46940|IQGA1_HUMAN,527.97,60,49,47,54,42,52,47,50,47,53,52,46,39,3.379E5,4.2581E5,4.8814E5,2.4667E5,3.7932E5,5.4081E5,4.7803E5,3.773E5,5.6529E5,4.9896E5,3.755E5,2.5907E5,84,82,247,283,302,213,296,301,287,257,376,288,251,192,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),189251,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1
37,194,P07900|HS90A_HUMAN,524.29,68,61,66,66,58,61,60,67,61,60,59,61,61,4.2896E5,5.0158E5,4.7767E5,3.5303E5,4.8393E5,5.3215E5,7.3849E5,6.7385E5,7.9935E5,6.3949E5,5.7291E5,4.5019E5,57,34,311,374,388,350,346,407,426,456,498,433,376,361,Carbamidomethylation; Oxidation (M); Deamidation (NQ),84660,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5
16,124,P11021|BIP_HUMAN,523.35,69,65,64,56,65,65,64,65,66,63,68,66,67,2.745E6,2.5823E6,2.1868E6,2.4268E6,2.2501E6,2.3276E6,2.2149E6,2.1083E6,2.3741E6,3.5408E6,3.2478E6,3.3076E6,51,49,604,560,506,609,509,505,541,552,531,646,628,627,Carbamidomethylation; Oxidation (M); Deamidation (NQ),72333,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2
38,119,Q13201|MMRN1_HUMAN,520.09,56,45,44,47,40,42,46,51,47,52,53,48,44,7.216E5,8.5328E5,9.3436E5,4.7755E5,6.6805E5,7.884E5,1.7352E6,1.3638E6,1.9557E6,1.2459E6,9.7838E5,7.8543E5,65,65,323,328,381,284,314,313,523,463,551,415,402,330,Carbamidomethylation; Oxidation (M); Deamidation (NQ),138110,Multimerin-1 OS=Homo sapiens OX=9606 GN=MMRN1 PE=1 SV=3
27,71,P08238|HS90B_HUMAN,519.20,70,62,68,67,63,65,66,66,65,65,66,66,68,5.8421E5,6.0752E5,5.5767E5,4.8084E5,5.3409E5,6.555E5,6.5489E5,5.9259E5,7.1194E5,8.021E5,6.4001E5,6.2831E5,59,26,428,424,419,415,427,478,487,492,520,485,427,412,Carbamidomethylation; Oxidation (M); Deamidation (NQ),83264,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4
41,88,P13639|EF2_HUMAN,515.81,80,72,70,66,68,69,67,74,72,71,73,70,69,7.5864E5,9.3436E5,9.6045E5,6.9051E5,8.6593E5,1.2313E6,7.9481E5,6.6251E5,9.24E5,1.2213E6,9.2294E5,8.9972E5,69,69,382,380,385,362,349,418,388,347,354,432,379,360,Carbamidomethylation; Oxidation (M); Deamidation (NQ),95338,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4
47,245,P04264|K2C1_HUMAN,515.79,70,59,57,58,60,48,59,61,65,68,64,50,57,1.7368E6,8.4283E5,7.6215E5,1.079E6,8.5819E5,2.5773E6,1.5949E6,1.4919E6,1.3329E6,1.9846E6,9.816E5,1.6081E6,49,43,395,265,260,359,282,437,371,399,332,386,280,393,Carbamidomethylation; Oxidation (M); Deamidation (NQ),66039,Keratin  type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6
28,6,P10809|CH60_HUMAN,515.68,85,79,79,80,79,77,76,75,76,80,85,83,80,1.4042E6,1.6372E6,1.4641E6,1.1684E6,1.2507E6,1.3202E6,1.5183E6,1.4394E6,1.723E6,2.4405E6,1.8832E6,1.9605E6,50,50,413,414,374,401,345,368,464,427,499,576,505,535,Carbamidomethylation; Oxidation (M); Deamidation (NQ),61055,60 kDa heat shock protein  mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2
56,173,Q9NZM1|MYOF_HUMAN,513.80,66,41,47,53,38,39,53,52,47,52,46,37,36,2.4257E5,3.5548E5,4.3019E5,1.5311E5,2.5609E5,4.8034E5,5.9158E5,3.8375E5,5.4379E5,3.7732E5,2.5249E5,1.6377E5,108,107,281,334,356,207,273,312,369,343,369,302,222,185,Carbamidomethylation; Oxidation (M); Deamidation (NQ),234706,Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1
14,256,P14625|ENPL_HUMAN,513.07,63,60,60,59,58,57,60,60,59,57,58,60,59,9.9991E5,1.309E6,1.1798E6,9.8112E5,1.1336E6,1.2835E6,1.2205E6,1.0289E6,1.3093E6,1.9964E6,1.4491E6,1.3252E6,59,52,412,596,507,470,419,665,531,462,700,783,701,691,Carbamidomethylation; Oxidation (M); Deamidation (NQ),92469,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1
15,52,P07355|ANXA2_HUMAN,512.99,84,80,76,78,73,79,81,83,81,84,83,82,80,6.3463E6,6.6689E6,6.7522E6,5.2139E6,6.2972E6,7.3864E6,6.6441E6,5.8454E6,7.2358E6,7.6462E6,6.9153E6,6.2229E6,53,53,586,575,547,489,533,552,640,592,645,573,595,545,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),38604,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2
3,12,P63261|ACTG_HUMAN,509.42,98,95,90,95,93,94,95,93,87,93,97,91,91,2.1103E5,2.5313E5,2.6937E5,1.2769E5,1.5737E5,5.3726E5,2.5531E5,1.6084E5,4.8159E5,5.9083E5,3.0007E5,2.9405E5,44,2,863,941,974,815,858,1014,890,840,1185,1225,1027,801,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),41793,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1
25,28,P26038|MOES_HUMAN,508.44,76,73,73,73,74,73,66,69,68,68,69,69,69,1.0039E6,8.7872E5,7.9681E5,1.0607E6,9.8113E5,1.502E6,7.1119E5,6.3544E5,9.539E5,1.7569E6,1.159E6,1.563E6,64,46,446,426,400,479,464,497,411,369,431,566,471,546,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),67820,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3
35,14,P14618|KPYM_HUMAN,506.84,76,73,73,73,74,73,73,74,74,74,76,74,73,1.5499E6,1.7861E6,1.8436E6,1.3548E6,1.6987E6,2.1212E6,1.633E6,1.3466E6,1.7244E6,2.3794E6,1.9052E6,1.6622E6,43,43,381,391,372,346,380,425,367,328,403,493,463,382,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),57937,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4
31,24,P02545|LMNA_HUMAN,506.45,75,71,71,69,70,71,71,69,70,71,73,70,70,2.5584E6,2.1601E6,1.941E6,2.4034E6,2.1827E6,2.7414E6,1.6565E6,1.6386E6,2.1716E6,2.585E6,2.138E6,2.5708E6,68,66,463,391,394,447,416,410,375,387,420,462,392,463,Carbamidomethylation; Oxidation (M); Deamidation (NQ),74140,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1
34,38,P11142|HSP7C_HUMAN,503.41,80,72,71,72,67,70,68,72,72,74,74,73,72,9.1778E5,1.0177E6,9.721E5,9.8792E5,1.0049E6,7.4248E5,8.667E5,7.5469E5,8.0066E5,1.2185E6,9.7383E5,9.8077E5,55,41,375,388,372,430,381,412,384,382,385,470,434,464,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),70898,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1
108,64,P22314|UBA1_HUMAN,503.35,73,53,58,70,52,58,58,54,56,59,56,57,55,3.3188E5,4.1658E5,4.6264E5,2.292E5,3.5315E5,5.6782E5,3.9871E5,3.1279E5,4.8516E5,4.8466E5,3.9632E5,2.8489E5,49,49,173,186,196,155,159,209,179,182,225,190,171,160,Carbamidomethylation; Deamidation (NQ),117849,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3
64,214,P16284|PECA1_HUMAN,499.29,58,50,50,48,48,49,49,47,47,51,55,52,51,6.9547E5,6.1756E5,6.1502E5,7.2376E5,6.36E5,5.0249E5,5.9886E5,5.8797E5,6.0721E5,9.4629E5,7.8735E5,9.6527E5,40,40,273,240,222,256,232,181,253,257,232,318,312,329,Carbamidomethylation; Oxidation (M); Deamidation (NQ),82522,Platelet endothelial cell adhesion molecule OS=Homo sapiens OX=9606 GN=PECAM1 PE=1 SV=2
228,184,Q9UPN3|MACF1_HUMAN,498.94,22,5,8,11,2,7,15,8,5,12,11,6,3,2.4916E4,4.354E4,7.0509E4,6.8273E3,4.1692E4,1.278E5,4.7801E4,3.676E4,7.2891E4,6.3838E4,2.2734E4,7.2883E3,122,119,64,112,180,31,104,227,103,76,182,166,71,37,Carbamidomethylation; Deamidation (NQ),838323,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4
13,16,P06733|ENOA_HUMAN,492.02,79,75,75,75,75,75,75,75,75,79,79,78,79,1.9475E6,2.2104E6,2.068E6,1.6566E6,1.9245E6,2.3423E6,1.4489E6,1.2414E6,1.2659E6,2.1045E6,1.7514E6,1.8819E6,36,31,560,649,666,583,597,749,596,487,437,585,554,624,Carbamidomethylation; Oxidation (M); Deamidation (NQ),47169,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2
76,246,O75923|DYSF_HUMAN,491.64,57,36,41,46,30,39,43,45,42,47,39,33,26,1.7335E5,2.5262E5,3.138E5,1.1075E5,2.222E5,3.6976E5,3.1425E5,2.2141E5,3.5914E5,2.1161E5,1.3607E5,6.9196E4,85,84,208,245,279,169,269,261,312,269,307,259,178,107,Carbamidomethylation; Deamidation (NQ),237293,Dysferlin OS=Homo sapiens OX=9606 GN=DYSF PE=1 SV=1
63,242,P15144|AMPN_HUMAN,491.08,57,47,47,48,47,44,44,46,46,47,54,51,45,5.1811E5,5.8934E5,6.1227E5,4.6446E5,5.1386E5,6.6178E5,6.6476E5,5.5579E5,8.2718E5,1.0264E6,7.4933E5,6.7352E5,54,54,242,256,276,241,249,247,265,276,266,317,281,263,Carbamidomethylation; Oxidation (M); Deamidation (NQ),109539,Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4
70,86,P18206|VINC_HUMAN,480.37,64,57,52,57,55,52,53,50,50,53,59,50,50,5.287E5,5.6876E5,5.6757E5,5.1859E5,5.439E5,5.9604E5,3.2162E5,2.7217E5,3.8024E5,5.7951E5,3.8768E5,3.8651E5,64,64,298,273,276,262,242,281,211,202,243,259,232,227,Carbamidomethylation; Oxidation (M); Deamidation (NQ),123799,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4
83,63,P35221|CTNA1_HUMAN,479.81,65,59,63,55,60,59,59,63,60,63,65,63,58,3.2951E5,4.1284E5,3.7055E5,3.646E5,3.8612E5,3.6403E5,2.0426E5,1.7548E5,3.1866E5,3.0136E5,3.2561E5,2.7359E5,48,39,231,233,214,256,227,233,218,198,220,221,216,201,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),100071,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1
126,107,Q15075|EEA1_HUMAN,476.82,53,48,42,41,39,37,45,38,33,40,45,38,44,1.6316E5,1.3699E5,1.2507E5,1.3151E5,1.2278E5,1.7428E5,1.1429E5,9.7008E4,1.5021E5,1.8588E5,1.3817E5,1.6192E5,67,67,181,150,159,178,146,188,154,129,165,169,145,172,Carbamidomethylation; Deamidation (NQ),162465,Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2
67,348,P13645|K1C10_HUMAN,476.75,66,61,58,58,56,58,63,63,61,61,63,61,63,8.589E5,4.3822E5,5.9589E5,7.6476E5,4.5759E5,1.8093E6,7.4743E5,6.3002E5,5.3421E5,8.1888E5,6.1181E5,8.7649E5,42,32,249,210,211,233,220,348,293,243,252,311,194,257,Carbamidomethylation; Oxidation (M); Deamidation (NQ),58827,Keratin  type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6
79,70,Q14764|MVP_HUMAN,474.58,74,58,67,73,49,58,62,66,57,61,59,59,52,3.6825E5,5.0923E5,4.9137E5,2.497E5,4.1501E5,4.9749E5,3.7338E5,2.8494E5,4.0468E5,3.3919E5,2.7105E5,2.3647E5,51,51,239,265,269,187,230,235,269,232,245,225,201,212,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),99327,Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4
69,175,Q14697|GANAB_HUMAN,472.69,74,55,57,60,61,57,63,64,63,61,66,59,55,5.7958E5,7.2883E5,7.985E5,4.0461E5,6.5993E5,6.9209E5,8.1439E5,7.3071E5,8.5602E5,7.9984E5,6.775E5,5.2162E5,49,49,235,262,285,212,258,231,280,256,284,279,226,203,Carbamidomethylation; Oxidation (M); Deamidation (NQ),106874,Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3
65,140,P25705|ATPA_HUMAN,472.59,67,63,62,63,62,63,63,66,64,65,61,64,63,7.704E5,1.0257E6,9.557E5,6.5335E5,8.1917E5,9.123E5,1.0006E6,9.5031E5,9.8897E5,9.9633E5,8.2677E5,8.5479E5,36,36,225,296,249,226,225,246,297,269,282,251,255,254,Carbamidomethylation; Oxidation (M); Deamidation (NQ),59751,ATP synthase subunit alpha  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1
90,101,Q07065|CKAP4_HUMAN,472.05,72,65,67,67,61,63,66,59,57,65,64,71,65,6.1902E5,5.8124E5,5.6435E5,5.6486E5,5.1301E5,6.9241E5,4.562E5,4.2025E5,6.332E5,8.303E5,7.4003E5,7.8584E5,41,41,196,184,199,223,209,219,153,162,215,242,224,237,Carbamidomethylation; Deamidation (NQ),66023,Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2
49,133,P07237|PDIA1_HUMAN,470.98,73,69,69,68,69,69,69,69,69,69,70,72,69,1.7526E6,1.68E6,1.4839E6,1.5753E6,1.4374E6,1.8249E6,1.6823E6,1.5521E6,1.8973E6,2.7645E6,2.2707E6,2.32E6,42,42,357,312,293,305,312,316,315,324,316,387,392,382,Carbamidomethylation; Oxidation (M); Deamidation (NQ),57116,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3
140,235,P49327|FAS_HUMAN,470.74,45,25,28,36,19,32,30,37,27,32,30,19,10,7.8447E4,1.2021E5,1.6895E5,2.9436E4,1.0382E5,1.9337E5,1.3627E5,8.5558E4,1.6179E5,8.2427E4,4.8526E4,1.383E4,71,71,139,163,224,60,186,182,214,173,209,144,96,33,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),273424,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3
