Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) HCA_K2,Coverage (%) HCA_K4,Coverage (%) HCA_K6,Coverage (%) HCA_M2,Coverage (%) HCA_M4,Coverage (%) HCA_M6,Coverage (%) HCA_C2,Coverage (%) HCA_C4,Coverage (%) HCA_C6,Coverage (%) HCA_i2,Coverage (%) HCA_i4,Coverage (%) HCA_i6,Area HCA_K2,Area HCA_K4,Area HCA_K6,Area HCA_M2,Area HCA_M4,Area HCA_M6,Area HCA_C2,Area HCA_C4,Area HCA_C6,Area HCA_i2,Area HCA_i4,Area HCA_i6,#Peptides,#Unique,#Spec HCA_K2,#Spec HCA_K4,#Spec HCA_K6,#Spec HCA_M2,#Spec HCA_M4,#Spec HCA_M6,#Spec HCA_C2,#Spec HCA_C4,#Spec HCA_C6,#Spec HCA_i2,#Spec HCA_i4,#Spec HCA_i6,PTM,Avg. Mass,Description
27,69,Q00610|CLH1_HUMAN,570.53,76,57,62,65,66,69,66,64,63,69,63,62,63,4.6085E5,6.145E5,6.6718E5,7.2631E5,1.0318E6,9.5425E5,6.8216E5,7.1362E5,7.1186E5,6.3827E5,6.8138E5,4.6025E5,107,86,329,397,420,450,525,547,504,467,474,461,453,433,Carbamidomethylation; Oxidation (M); Deamidation (NQ),191613,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5
41,381,P02751|FINC_HUMAN,561.10,49,28,29,30,29,25,28,44,43,47,43,43,44,2.8057E5,2.4517E5,2.6269E5,2.0045E5,1.579E5,2.6445E5,1.4119E6,1.3754E6,1.5646E6,9.2023E5,8.9234E5,8.2831E5,84,84,221,243,246,208,175,241,509,546,569,455,432,495,Carbamidomethylation; Oxidation (M); Deamidation (NQ),272318,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5
1,2,P08670|VIME_HUMAN,555.04,94,92,91,94,92,90,90,85,86,88,90,89,89,1.3615E7,1.1712E7,1.1983E7,1.4945E7,1.178E7,1.1938E7,6.8087E6,7.5853E6,6.6571E6,8.986E6,8.7882E6,7.93E6,74,69,1789,1773,1681,1890,1786,1644,1364,1403,1314,1539,1475,1181,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),53652,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4
73,213,Q9UPN3|MACF1_HUMAN,552.99,31,10,13,14,20,23,21,12,13,13,17,17,9,4.9955E4,8.1805E4,8.5081E4,1.4411E5,2.5313E5,2.5107E5,1.0195E5,9.0715E4,8.5108E4,1.263E5,1.3366E5,5.1738E4,172,167,136,205,212,297,403,336,206,221,187,283,273,144,Carbamidomethylation; Deamidation (NQ),838323,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4
23,14,O43707|ACTN4_HUMAN,548.37,79,78,79,74,74,75,74,74,78,77,78,78,73,6.3134E5,6.7403E5,6.4414E5,9.0842E5,9.2042E5,8.7579E5,6.2733E5,6.1575E5,6.2527E5,7.179E5,7.3751E5,4.658E5,74,48,416,500,451,549,523,510,527,513,513,519,525,433,Carbamidomethylation; Oxidation (M); Deamidation (NQ),104854,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2
29,210,Q14315|FLNC_HUMAN,545.57,58,42,42,44,49,44,45,44,44,44,44,45,46,5.4831E5,5.4078E5,5.745E5,7.3523E5,7.4552E5,6.9612E5,5.248E5,4.9753E5,4.9047E5,6.0169E5,6.0138E5,4.9768E5,120,106,389,383,409,461,442,470,404,386,444,412,424,439,Carbamidomethylation; Deamidation (NQ),291020,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3
76,282,P78527|PRKDC_HUMAN,545.23,42,20,26,27,30,36,32,18,17,19,20,21,14,1.1189E5,1.8207E5,1.9262E5,2.3174E5,3.6298E5,3.2823E5,7.8322E4,8.0682E4,8.6959E4,9.4541E4,1.2802E5,5.3383E4,138,138,181,256,279,325,405,345,162,158,184,200,234,131,Carbamidomethylation; Deamidation (NQ),469093,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3
49,106,Q01082|SPTB2_HUMAN,544.21,61,42,48,44,57,58,54,48,45,44,50,45,34,2.3885E5,2.5216E5,2.5628E5,3.7865E5,4.3006E5,4.0879E5,2.2893E5,2.4225E5,2.1177E5,2.4793E5,2.3247E5,1.6274E5,116,107,279,337,309,432,428,403,317,295,288,302,293,216,Carbamidomethylation; Deamidation (NQ),274608,Spectrin beta chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2
26,45,P12814|ACTN1_HUMAN,543.83,82,76,82,82,82,81,76,79,81,81,81,81,78,5.2212E5,6.3451E5,5.7602E5,8.2516E5,8.1843E5,8.1554E5,6.2743E5,6.351E5,6.0592E5,6.4669E5,6.7997E5,4.0912E5,80,51,414,444,417,500,492,472,473,499,489,448,494,404,Carbamidomethylation; Oxidation (M); Deamidation (NQ),103058,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2
13,349,P07996|TSP1_HUMAN,541.84,53,41,41,41,39,39,42,46,51,45,45,45,45,6.9276E5,7.3856E5,7.8054E5,5.8279E5,6.792E5,9.3962E5,4.6602E6,4.3327E6,4.9884E6,3.4532E6,3.5095E6,2.3218E6,63,63,270,251,251,231,253,279,1073,1048,1164,737,824,569,Carbamidomethylation; Oxidation (M); Deamidation (NQ),129383,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2
21,86,P55072|TERA_HUMAN,539.42,80,73,76,76,74,79,76,72,74,72,76,73,73,1.6704E6,1.5443E6,1.4726E6,1.4874E6,1.3589E6,1.4384E6,1.0976E6,1.1002E6,9.9905E5,1.2867E6,1.328E6,9.6858E5,70,70,562,520,564,538,494,495,502,492,447,509,490,449,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),89322,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4
55,46,Q13813|SPTN1_HUMAN,535.78,60,46,43,44,53,47,51,37,35,36,37,36,29,4.1134E5,4.3658E5,3.8571E5,5.5336E5,4.2696E5,4.2077E5,2.2432E5,2.487E5,2.333E5,2.6248E5,2.8493E5,1.6347E5,131,131,324,342,314,446,330,370,268,253,255,233,270,209,Carbamidomethylation; Deamidation (NQ),284538,Spectrin alpha chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3
15,103,P08238|HS90B_HUMAN,532.45,71,69,69,69,70,69,68,66,68,69,69,69,65,8.1124E5,7.0072E5,6.1791E5,8.0328E5,7.9219E5,7.5975E5,5.9274E5,5.8092E5,5.6859E5,7.1506E5,6.7675E5,5.1454E5,62,25,573,644,633,589,550,518,528,672,573,520,582,519,Carbamidomethylation; Oxidation (M); Deamidation (NQ),83264,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4
33,19,P14618|KPYM_HUMAN,526.92,80,74,74,74,80,74,73,73,73,73,73,73,73,2.0089E6,1.89E6,1.9034E6,2.2427E6,2.2926E6,2.2009E6,1.3804E6,1.4439E6,1.5092E6,2.0281E6,2.1052E6,1.5913E6,45,45,420,457,465,447,438,438,354,348,354,418,440,374,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),57937,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4
20,207,P07900|HS90A_HUMAN,525.87,69,60,67,61,61,60,61,66,67,61,67,68,61,5.1495E5,5.0478E5,5.1624E5,6.0441E5,5.5418E5,5.7806E5,8.8753E5,8.3581E5,9.2627E5,7.7775E5,7.842E5,6.2002E5,63,37,420,560,556,472,441,442,537,651,556,469,556,456,Carbamidomethylation; Oxidation (M); Deamidation (NQ),84660,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5
32,454,P68104|EF1A1_HUMAN,521.24,70,70,70,70,67,67,67,65,60,64,67,67,66,2.7858E6,2.6197E6,2.6717E6,2.6134E6,2.5602E6,2.4413E6,1.1311E6,1.3578E6,1.4288E6,1.8712E6,1.9965E6,1.6043E6,32,32,468,519,512,461,467,435,282,343,342,373,442,343,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50141,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1
31,61,P13639|EF2_HUMAN,518.93,78,69,67,71,70,73,72,66,68,65,66,66,69,9.7099E5,1.1023E6,1.003E6,9.8744E5,1.06E6,1.0038E6,9.4196E5,9.8966E5,9.3318E5,1.3797E6,1.5463E6,1.0267E6,68,68,401,388,394,426,432,429,388,385,400,491,472,406,Carbamidomethylation; Oxidation (M); Deamidation (NQ),95338,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4
17,151,P11021|BIP_HUMAN,515.28,70,68,64,58,67,64,64,64,65,62,66,65,56,3.1379E6,2.4704E6,2.6168E6,2.9736E6,2.3488E6,2.6959E6,2.1659E6,2.0717E6,2.3014E6,2.5162E6,2.3642E6,2.2037E6,52,50,583,509,515,602,510,528,549,525,533,577,561,565,Carbamidomethylation; Oxidation (M); Deamidation (NQ),72333,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2
3,13,P63261|ACTG_HUMAN,514.60,97,91,95,95,96,95,94,87,90,94,94,95,89,5.0982E5,6.7898E5,4.8889E5,6.381E5,5.9567E5,6.3295E5,4.0965E5,4.815E5,3.19E5,5.2929E5,5.1684E5,1.7742E5,44,2,955,1154,1174,1074,1018,988,941,1071,997,998,1177,825,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),41793,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1
59,36,P29401|TKT_HUMAN,513.41,86,86,79,78,80,86,85,74,75,85,75,78,77,1.8605E6,1.7928E6,1.7609E6,1.3188E6,1.4167E6,1.4086E6,5.0677E5,5.4597E5,5.6416E5,7.593E5,7.6935E5,6.0046E5,44,44,376,390,408,301,338,342,187,214,219,239,242,243,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),67878,Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3
64,175,P46940|IQGA1_HUMAN,512.33,60,43,44,46,48,52,53,46,44,47,46,47,46,2.578E5,3.3742E5,3.4315E5,4.4205E5,5.1956E5,4.7007E5,3.5612E5,3.7574E5,3.7475E5,4.6169E5,4.9432E5,3.2396E5,82,82,204,228,223,272,302,299,262,268,260,272,283,253,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),189251,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1
52,205,P04264|K2C1_HUMAN,510.57,73,57,59,64,59,56,42,73,57,59,52,53,56,1.2492E6,3.0966E6,1.3139E6,2.0832E6,7.3506E5,2.7386E5,1.5553E6,8.6788E5,1.2815E6,6.7427E5,4.9584E5,6.1285E5,48,42,310,579,331,407,236,132,396,303,379,238,244,267,Carbamidomethylation; Oxidation (M); Deamidation (NQ),66039,Keratin  type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6
18,148,P14625|ENPL_HUMAN,508.44,63,59,60,61,61,59,58,59,60,61,60,61,59,1.1154E6,9.9278E5,1.0418E6,1.2425E6,1.1031E6,1.0782E6,1.0457E6,1.0029E6,1.1846E6,1.1605E6,1.2509E6,1.0486E6,60,52,527,592,551,609,498,520,505,543,548,575,515,386,Carbamidomethylation; Oxidation (M); Deamidation (NQ),92469,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1
25,28,P10809|CH60_HUMAN,508.39,87,81,75,80,82,80,79,77,82,77,78,78,74,1.6858E6,1.6442E6,1.6065E6,1.5757E6,1.2853E6,1.4907E6,1.6507E6,1.623E6,1.6953E6,1.7656E6,1.7885E6,1.4403E6,53,53,471,482,455,487,400,409,510,498,503,492,485,409,Carbamidomethylation; Oxidation (M); Deamidation (NQ),61055,60 kDa heat shock protein  mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2
28,92,P11142|HSP7C_HUMAN,508.11,74,72,73,73,74,73,72,72,73,71,73,73,72,1.179E6,9.5625E5,1.0137E6,1.2264E6,1.1162E6,1.141E6,8.747E5,8.3123E5,9.9469E5,1.2274E6,1.2591E6,1.1647E6,54,39,460,428,448,446,409,421,390,436,415,541,517,473,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),70898,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1
54,202,Q9NZM1|MYOF_HUMAN,505.67,64,38,43,43,43,54,49,47,51,51,53,56,41,2.0453E5,2.6984E5,2.6252E5,3.2213E5,4.519E5,4.1624E5,4.0028E5,3.5916E5,4.2818E5,4.2994E5,4.6947E5,3.2527E5,106,105,226,239,255,292,358,320,320,284,355,327,360,295,Carbamidomethylation; Oxidation (M); Deamidation (NQ),234706,Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1
16,9,P07355|ANXA2_HUMAN,501.89,83,83,81,83,81,79,77,74,76,76,76,76,74,7.0827E6,6.4571E6,6.564E6,7.4775E6,7.2149E6,7.7175E6,5.6326E6,5.6181E6,5.9164E6,6.4276E6,6.253E6,5.0231E6,49,49,617,567,557,618,592,566,550,543,547,527,535,503,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),38604,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2
44,17,P02545|LMNA_HUMAN,498.25,73,72,70,70,71,71,70,69,63,69,62,68,61,2.8041E6,2.3461E6,2.2807E6,2.6477E6,2.3027E6,2.3621E6,1.044E6,1.0764E6,9.9903E5,9.9416E5,8.7147E5,7.8033E5,65,63,457,430,409,420,425,390,277,287,274,290,273,261,Carbamidomethylation; Oxidation (M); Deamidation (NQ),74140,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1
85,348,P13645|K1C10_HUMAN,495.21,64,61,64,63,64,61,50,61,58,61,57,53,53,5.58E5,2.6642E6,6.5445E5,1.7509E6,3.4945E5,1.5209E5,5.8024E5,2.8669E5,5.1218E5,3.2004E5,2.7742E5,2.9297E5,42,35,214,469,242,286,174,110,218,167,226,169,132,173,Carbamidomethylation; Oxidation (M); Deamidation (NQ),58827,Keratin  type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6
30,11,P26038|MOES_HUMAN,493.55,76,67,68,68,69,67,66,67,69,69,69,69,73,1.3784E6,1.1215E6,1.1202E6,1.0603E6,1.0344E6,9.0933E5,6.4802E5,7.115E5,6.6527E5,8.7086E5,8.3947E5,6.42E5,61,43,479,480,444,408,430,393,391,404,401,441,405,348,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),67820,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3
56,129,P16284|PECA1_HUMAN,493.52,54,51,51,51,51,50,50,50,49,50,51,51,49,1.0855E6,1.048E6,1.0321E6,9.1641E5,9.1293E5,1.011E6,9.4277E5,8.263E5,9.6531E5,1.1744E6,9.1696E5,8.4681E5,40,40,311,292,300,295,278,305,308,292,293,322,271,268,Carbamidomethylation; Oxidation (M); Deamidation (NQ),82522,Platelet endothelial cell adhesion molecule OS=Homo sapiens OX=9606 GN=PECAM1 PE=1 SV=2
87,243,P49327|FAS_HUMAN,489.92,52,28,29,30,37,42,43,31,31,41,34,37,36,8.7464E4,1.4349E5,1.3659E5,1.7055E5,2.6682E5,2.0069E5,1.3642E5,1.5319E5,1.583E5,1.8366E5,2.3512E5,1.2628E5,82,82,144,158,153,219,277,248,219,202,215,219,228,223,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),273424,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3
144,406,P46821|MAP1B_HUMAN,487.22,39,27,25,30,35,31,35,12,13,15,17,20,18,2.0372E5,1.6029E5,1.5776E5,2.4017E5,2.1523E5,2.0281E5,6.3326E4,6.6849E4,5.8865E4,1.1101E5,1.123E5,6.4375E4,69,69,186,172,166,251,210,209,62,77,89,119,122,101,Carbamidomethylation; Deamidation (NQ),270632,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2
11,23,P06733|ENOA_HUMAN,487.13,83,78,78,74,82,76,74,74,74,74,77,76,75,2.7237E6,2.399E6,2.5128E6,2.6345E6,2.4392E6,2.4652E6,1.2837E6,1.3103E6,1.2914E6,1.9026E6,2.0735E6,1.6785E6,38,33,864,867,819,637,755,634,497,535,539,670,658,540,Carbamidomethylation; Oxidation (M); Deamidation (NQ),47169,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2
68,279,P15144|AMPN_HUMAN,485.04,54,44,47,45,47,45,47,49,48,43,46,46,44,5.9778E5,5.892E5,5.3848E5,5.5376E5,5.6023E5,6.0163E5,5.8889E5,5.5785E5,5.4974E5,6.5202E5,6.1577E5,4.3146E5,51,51,222,224,250,252,234,242,253,268,257,248,268,238,Carbamidomethylation; Oxidation (M); Deamidation (NQ),109539,Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4
115,24,P35908|K22E_HUMAN,483.55,80,61,80,67,76,60,37,65,54,73,49,55,67,2.6728E5,1.562E6,2.2252E5,4.8553E5,1.0111E5,4.3793E4,1.8965E5,9.8647E4,2.5322E5,9.0234E4,9.2E4,1.4551E5,54,42,187,399,169,228,124,60,190,145,189,126,115,163,Carbamidomethylation; Oxidation (M); Deamidation (NQ),65433,Keratin  type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2
80,119,P35221|CTNA1_HUMAN,481.32,68,65,59,61,64,62,63,57,57,58,63,56,55,4.4888E5,4.3122E5,4.8402E5,4.3116E5,4.3264E5,4.4576E5,2.2041E5,2.037E5,1.883E5,2.3416E5,2.2613E5,2.1029E5,50,40,253,256,245,256,244,280,222,195,202,184,207,187,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),100071,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1
39,130,P07237|PDIA1_HUMAN,480.66,73,69,69,66,67,66,66,66,69,72,69,69,69,2.6191E6,2.2504E6,2.1556E6,2.5051E6,2.1768E6,2.5293E6,2.4995E6,2.5612E6,2.5807E6,2.695E6,2.6986E6,2.0169E6,45,45,357,359,332,381,334,378,394,396,417,407,366,369,Carbamidomethylation; Oxidation (M); Deamidation (NQ),57116,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3
118,122,P42704|LPPRC_HUMAN,477.79,55,41,40,41,47,50,44,37,41,40,42,41,35,1.8148E5,1.682E5,1.7184E5,2.0122E5,2.5554E5,2.266E5,1.0419E5,1.1023E5,1.0744E5,1.3728E5,1.5469E5,7.8786E4,68,68,162,180,176,215,218,197,144,136,173,172,181,118,Carbamidomethylation; Deamidation (NQ),157904,Leucine-rich PPR motif-containing protein  mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3
74,99,P18206|VINC_HUMAN,477.57,63,60,54,55,60,57,59,48,47,47,48,46,48,6.3601E5,5.4656E5,5.404E5,7.2399E5,6.4852E5,6.3721E5,2.6264E5,2.6896E5,2.8308E5,3.4903E5,3.4788E5,2.5247E5,61,61,277,273,280,312,290,306,201,176,204,207,187,179,Carbamidomethylation; Deamidation (NQ),123799,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4
107,345,P48681|NEST_HUMAN,475.31,46,43,38,40,42,40,42,19,19,22,28,28,29,6.1365E5,4.8592E5,4.671E5,6.5315E5,5.4553E5,5.9607E5,6.8853E4,6.961E4,7.1782E4,1.5999E5,1.5116E5,1.2E5,67,67,271,219,236,278,228,244,69,86,107,145,139,121,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),177438,Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2
70,31,P08133|ANXA6_HUMAN,474.63,75,70,69,70,73,72,72,73,73,73,72,72,69,5.7931E5,5.4794E5,5.5372E5,6.0163E5,6.2011E5,6.641E5,7.7498E5,7.4372E5,7.3969E5,7.6084E5,7.4781E5,4.4305E5,54,54,205,222,220,254,213,238,285,277,291,280,258,204,Carbamidomethylation; Oxidation (M); Deamidation (NQ),75873,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3
72,250,Q14697|GANAB_HUMAN,474.19,71,51,60,55,67,64,63,58,60,60,59,63,58,4.0704E5,4.5488E5,4.519E5,5.3816E5,5.8826E5,6.1569E5,8.1586E5,7.8199E5,8.7628E5,8.0339E5,8.8476E5,6.3606E5,48,48,179,214,201,243,221,234,267,278,280,277,284,256,Carbamidomethylation; Oxidation (M); Deamidation (NQ),106874,Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3
48,83,P21980|TGM2_HUMAN,470.70,82,66,68,75,77,73,76,75,65,80,75,68,79,1.1606E6,1.2631E6,1.2337E6,1.3115E6,1.4555E6,1.3925E6,8.5302E5,9.2829E5,9.3669E5,1.0287E6,1.1627E6,8.1897E5,53,53,298,321,325,375,361,384,300,297,342,305,323,300,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),77329,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2
